C:\Users\manuel.andruccioli\Desktop\jdk 1000 50 250;;;;;1000 50 250;;;
CLI;;;;;GUI;;;
Executor;VirtualThread;EventLoop;Reactive;;Executor;VirtualThread;EventLoop;Reactive
4077;5785;52132;18412;;5081;7155;55118;21740
3354;3414;52171;16965;;4684;5415;52816;21099
3114;3072;50270;17005;;4640;4941;53943;21213
3044;3105;51961;16907;;4888;4946;53893;20279
3210;3159;51622;17104;;4717;4713;52778;20931
3130;3070;52242;18175;;4482;4713;52957;20284
3036;3141;51835;18094;;4441;4885;52737;22182
2901;3088;50788;17191;;4670;4628;52047;20236
2975;3235;51232;16776;;4546;4740;54733;20310
3141;3136;50780;16813;;4436;4859;52925;20783
;;;;;;;;
3198,2;3420,5;51503,3;17344,2;;4658,5;5099,5;53394,7;20905,7
